frame_idx,rtt_ms,ok,can_id,payload_len
0,10.85820000298554,1,291,7
1,14.888699999573873,1,291,7
2,15.217200001643505,1,291,7
3,16.308899997966364,1,291,7
4,15.260099997249199,1,291,7
5,32.06219999992754,1,291,7
6,15.398600000480656,1,291,7
7,15.08770000145887,1,291,7
8,15.562699998554308,1,291,7
9,16.163599997526035,1,291,7
10,15.6009999991511,1,291,7
11,15.87660000222968,1,291,7
12,15.849600000365172,1,291,7
13,18.417999999655876,1,291,7
14,14.651900000899332,1,291,7
15,16.074000002845423,1,291,7
16,17.46869999988121,1,291,7
17,29.634600003191736,1,291,7
18,31.662599998526275,1,291,7
19,6.513799999083858,1,291,7
20,24.350699997739866,1,291,7
21,16.213500002777437,1,291,7
22,15.229100001306506,1,291,7
23,7.415500000206521,1,291,7
24,6.102899998950306,1,291,7
25,19.15789999839035,1,291,7
26,8.20430000021588,1,291,7
27,23.549999998067506,1,291,7
28,14.889999998558778,1,291,7
29,5.587300001934636,1,291,7
30,25.24510000148439,1,291,7
31,32.50019999904907,1,291,7
32,30.535500001860783,1,291,7
33,15.76790000035544,1,291,7
34,32.185100000788225,1,291,7
35,31.27659999881871,1,291,7
36,15.608599998813588,1,291,7
37,16.17850000184262,1,291,7
38,15.619100002368214,1,291,7
39,15.289300001313677,1,291,7
40,15.658399999665562,1,291,7
41,15.683800000260817,1,291,7
42,15.82109999799286,1,291,7
43,15.674999998736894,1,291,7
44,16.350199999578763,1,291,7
45,15.866299996559974,1,291,7
46,15.72650000161957,1,291,7
47,4.646500001399545,1,291,7
48,27.961499999946682,1,291,7
49,17.39169999927981,1,291,7
