frame_idx,rtt_ms,ok,can_id,payload_len
0,34.65259999939008,1,291,7
1,21.46579999680398,1,291,7
2,32.20100000180537,1,291,7
3,32.17709999807994,1,291,7
4,32.66549999898416,1,291,7
5,33.210699999472126,1,291,7
6,31.822500000998843,1,291,7
7,31.710999999631895,1,291,7
8,31.522000001132255,1,291,7
9,31.80390000125044,1,291,7
10,32.12050000001909,1,291,7
11,15.88409999749274,1,291,7
12,31.615899999451358,1,291,7
13,32.700699997803895,1,291,7
14,32.68499999830965,1,291,7
15,32.79829999883077,1,291,7
16,32.20000000146683,1,291,7
17,13.020200000028126,1,291,7
18,33.8307000019995,1,291,7
19,31.82639999795356,1,291,7
20,32.26110000105109,1,291,7
21,16.499699999258155,1,291,7
22,31.410499999765307,1,291,7
23,32.82519999993383,1,291,7
24,32.34150000207592,1,291,7
25,33.135900001070695,1,291,7
26,29.9382000011974,1,291,7
27,15.44339999963995,1,291,7
28,33.13010000056238,1,291,7
29,32.066600000689505,1,291,7
30,31.16579999914393,1,291,7
31,14.86270000168588,1,291,7
32,32.29490000012447,1,291,7
33,32.552799999393756,1,291,7
34,31.241100001352606,1,291,7
35,13.397700000496116,1,291,7
36,17.52170000327169,1,291,7
37,31.85779999694205,1,291,7
38,32.192200000281446,1,291,7
39,31.681300002674107,1,291,7
40,31.746499997098,1,291,7
41,31.857900001341477,1,291,7
42,32.390500000474276,1,291,7
43,32.15240000281483,1,291,7
44,32.40670000013779,1,291,7
45,15.275600002496503,1,291,7
46,31.583299998601433,1,291,7
47,32.18310000011115,1,291,7
48,32.011200000852114,1,291,7
49,32.896299999265466,1,291,7
50,31.190699999569915,1,291,7
51,32.0224999995844,1,291,7
52,31.840899999224348,1,291,7
53,31.70010000030743,1,291,7
54,32.11359999841079,1,291,7
55,31.756299998960458,1,291,7
56,15.955599999870174,1,291,7
57,31.25999999974738,1,291,7
58,32.562799999141134,1,291,7
59,31.75290000217501,1,291,7
60,31.926399999065325,1,291,7
61,33.62829999969108,1,291,7
62,30.42490000007092,1,291,7
63,31.674900001235073,1,291,7
64,32.318199999281205,1,291,7
65,31.374400001368485,1,291,7
66,32.405499998276355,1,291,7
67,13.557700000092154,1,291,7
68,17.392300000210525,1,291,7
69,31.984800003556302,1,291,7
70,32.29819999978645,1,291,7
71,32.57339999981923,1,291,7
72,30.994700002338504,1,291,7
73,31.566400000883732,1,291,7
74,33.28229999897303,1,291,7
