frame_idx,rtt_ms,ok,can_id,payload_len
0,14.119100000243634,1,291,7
1,29.507999992347322,1,291,7
2,17.21700000052806,1,291,7
3,13.800000000628643,1,291,7
4,16.124000001582317,1,291,7
5,22.045200006687082,1,291,7
6,25.662200001534075,1,291,7
7,13.371699998970143,1,291,7
8,7.384600001387298,1,291,7
9,23.77369999885559,1,291,7
10,15.84510000247974,1,291,7
11,28.376000002026558,1,291,7
12,18.458899998222478,1,291,7
13,33.346500000334345,1,291,7
14,31.357800005935133,1,291,7
15,18.5743000038201,1,291,7
16,25.637800004915334,1,291,7
17,14.788700005738065,1,291,7
18,31.488299995544367,1,291,7
19,32.69469999941066,1,291,7
20,14.1559000039706,1,291,7
21,14.450300004682504,1,291,7
22,14.268899991293438,1,291,7
23,14.742600003955886,1,291,7
24,15.304899992770515,1,291,7
25,16.877300004125573,1,291,7
26,16.399399988586083,1,291,7
27,29.569799997261725,1,291,7
28,16.667699994286522,1,291,7
29,16.83989999582991,1,291,7
30,35.24440000182949,1,291,7
31,22.50429999548942,1,291,7
32,19.983999998657964,1,291,7
33,14.952099998481572,1,291,7
34,33.27929999795742,1,291,7
35,46.573300001909956,1,291,7
36,13.639299999340437,1,291,7
37,32.775200001196936,1,291,7
38,30.19530000165105,1,291,7
39,47.229999996488914,1,291,7
40,15.401099997689016,1,291,7
41,31.671899996581487,1,291,7
42,47.95159999048337,1,291,7
43,30.46770000946708,1,291,7
44,14.89170000422746,1,291,7
45,30.839700004435144,1,291,7
46,28.89199998753611,1,291,7
47,14.3404999980703,1,291,7
48,16.23559999279678,1,291,7
49,33.07489999860991,1,291,7
50,16.04790000419598,1,291,7
51,27.370800002245232,1,291,7
52,15.754200008814223,1,291,7
53,16.245699996943586,1,291,7
54,14.695000005303882,1,291,7
55,16.786299995146692,1,291,7
56,16.37519999349024,1,291,7
57,32.12609999172855,1,291,7
58,31.891999999061227,1,291,7
59,29.777400006423704,1,291,7
60,48.19050000514835,1,291,7
61,14.362799993250519,1,291,7
62,12.655899990932085,1,291,7
63,14.84570000320673,1,291,7
64,15.854900004342198,1,291,7
65,16.00410000537522,1,291,7
