sample_idx,latency_ms
0,66.71989999813377
1,74.288499999966
2,75.92259999728412
3,61.66210000083083
4,61.50970000089728
5,46.094500001345295
6,60.241200000746176
7,92.28550000261748
8,79.40830000006827
9,89.19050000258721
10,56.24600000010105
11,56.794099997205194
12,60.84079999709502
13,71.35189999826252
14,57.11189999783528
15,65.60220000028494
16,65.0311999997939
17,63.86209999982384
18,60.60549999892828
19,62.79699999868171
20,66.58830000014859
21,56.85939999966649
22,73.12339999771211
23,61.141399997723056
24,66.1396000032255
25,59.627000002365094
26,56.396699998003896
27,72.20890000098734
28,81.30239999809419
29,76.55629999862867
30,70.32669999898644
31,95.45930000240332
32,63.04190000082599
33,69.34650000039255
34,68.65660000039497
35,63.314499999250984
36,67.47360000008484
37,58.92650000168942
38,64.05040000026929
39,60.26039999778732
40,66.875100001198
41,53.65850000089267
42,54.146900001796894
43,59.36010000004899
44,62.64690000170958
45,52.024999997229315
46,69.1977999995288
47,57.80090000189375
48,62.25139999878593
49,64.11230000230717
